,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
0,0,1,0,0,0,126.0,1,0.0,0.7142857142857142,0.0,0.0,0,Nabil Fekir,France
1,0,2,0,9,0,1236.0,20,0.0,0.14563106796116507,0.0,0.6553398058252428,0,Yuri Berchiche,Spain
2,0,0,0,1,0,158.0,2,0.0,0.0,0.0,0.569620253164557,0,Mikel Merino,Spain
3,2,4,0,5,0,1217.0,18,0.14790468364831552,0.29580936729663104,0.0,0.3697617091207889,0,Danilo,Brazil
4,1,0,0,2,0,510.0,6,0.1764705882352941,0.0,0.0,0.3529411764705882,0,David Silva,Spain
5,1,0,0,0,0,308.0,4,0.29220779220779225,0.0,0.0,0.0,0,Christian Atsu,Ghana
6,2,1,0,11,0,2799.0,37,0.06430868167202572,0.03215434083601286,0.0,0.3536977491961415,0,Yaya Touré,Côte d'Ivoire
7,0,0,0,2,0,137.0,2,0.0,0.0,0.0,1.313868613138686,0,Nicolás Otamendi,Argentina
8,0,0,0,1,0,256.0,4,0.0,0.0,0.0,0.3515625,0,Bruno Saltor,Spain
9,0,1,0,0,0,395.0,5,0.0,0.22784810126582278,0.0,0.0,0,Malcom,Brazil
10,0,0,0,1,0,136.0,2,0.0,0.0,0.0,0.6617647058823529,0,Gaël Kakuta,"Congo, (Kinshasa)"
11,0,0,0,1,0,45.0,1,0.0,0.0,0.0,2.0,0,Chidozie Awaziem,Nigeria
12,0,0,0,1,0,145.0,2,0.0,0.0,0.0,0.6206896551724138,0,André Zambo Anguissa,Cameroon
13,0,0,0,1,0,170.0,2,0.0,0.0,0.0,0.5294117647058824,0,Jaroslav Plašil,Czech Republic
14,0,0,0,3,0,603.0,10,0.0,0.0,0.0,0.44776119402985076,0,Rene Krhin,Slovenia
15,0,0,0,1,0,129.0,1,0.0,0.0,0.0,0.6976744186046512,0,Sergi Darder,Spain
16,3,1,0,1,0,691.0,6,0.39073806078147616,0.13024602026049203,0.0,0.13024602026049203,0,Sergio Agüero,Argentina
17,0,1,0,10,0,1435.0,27,0.0,0.0627177700348432,0.0,0.627177700348432,0,Adil Rami,France
18,1,0,0,1,0,170.0,2,0.5294117647058824,0.0,0.0,0.5294117647058824,0,Joselu,Spain
19,0,0,0,2,0,426.0,6,0.0,0.0,0.0,0.4225352112676056,0,Abdoulaye Doucouré,Mali
20,0,1,0,4,0,1412.0,14,0.0,0.06373937677053824,0.0,0.254957507082153,0,Nordin Amrabat,Morocco
21,0,0,0,9,0,1317.0,19,0.0,0.0,0.0,0.6150341685649203,0,Eric Bailly,Côte d'Ivoire
22,0,0,0,1,0,135.0,2,0.0,0.0,0.0,0.6666666666666667,0,Diego Carlos,Brazil
23,0,0,0,1,0,990.0,22,0.0,0.0,0.0,0.09090909090909091,0,Alphonse Areola,France
24,20,10,0,8,0,4252.0,45,0.4233301975540922,0.2116650987770461,0.0,0.16933207902163688,0,Alexis Sánchez,Chile
25,1,0,0,1,0,135.0,2,0.6666666666666667,0.0,0.0,0.6666666666666667,0,Eliaquim Mangala,France
26,0,0,0,1,0,165.0,3,0.0,0.0,0.0,0.5454545454545454,0,Francis Joseph Coquelin,France
27,2,0,0,1,0,234.0,2,0.7692307692307693,0.0,0.0,0.38461538461538464,0,Falcao,Colombia
28,0,1,0,1,0,91.0,3,0.0,0.989010989010989,0.0,0.989010989010989,0,Álvaro Morata,Spain
29,19,25,0,11,0,5251.0,57,0.325652256713007,0.42848981146448295,0.0,0.1885355170443725,0,Cesc Fàbregas,Spain
30,3,3,0,3,0,1867.0,19,0.144617032672737,0.144617032672737,0.0,0.144617032672737,0,Fernando Llorente,Spain
31,0,2,0,2,0,461.0,5,0.0,0.39045553145336226,0.0,0.39045553145336226,0,Mesut Özil,Germany
32,7,3,0,6,0,2366.0,28,0.2662721893491124,0.11411665257819104,0.0,0.22823330515638207,0,Vicente Iborra,Spain
33,9,5,0,3,0,3217.0,35,0.25178737954616104,0.13988187752564502,0.0,0.083929126515387,0,Philippe Coutinho,Brazil
34,1,1,0,0,0,437.0,5,0.20594965675057209,0.20594965675057209,0.0,0.0,0,Sandro Ramírez,Spain
35,1,0,0,0,0,239.0,4,0.37656903765690375,0.0,0.0,0.0,0,Alberto Moreno,Spain
36,1,0,0,0,0,118.0,1,0.7627118644067796,0.0,0.0,0.0,0,Karl Toko Ekambi,Cameroon
37,0,1,0,1,0,919.0,11,0.0,0.09793253536452666,0.0,0.09793253536452666,0,Charly Musonda,Belgium
38,2,0,0,3,0,424.0,7,0.4245283018867924,0.0,0.0,0.6367924528301887,0,Ander Herrera,Spain
39,1,3,0,12,0,2740.0,32,0.03284671532846715,0.09854014598540146,0.0,0.39416058394160586,0,Roque Mesa,Spain
40,0,0,0,2,0,1012.0,18,0.0,0.0,0.0,0.17786561264822134,0,Grzegorz Krychowiak,Poland
41,2,0,0,13,0,1650.0,27,0.10909090909090909,0.0,0.0,0.7090909090909091,0,Shkodran Mustafi,Germany
42,9,5,0,4,0,1075.0,14,0.7534883720930233,0.41860465116279066,0.0,0.33488372093023255,0,Zlatan Ibrahimović,Sweden
