vid,name,country
2948,Nabil Fekir,France
2950,Jonas Martin,France
2961,Yann Bodiger,France
2995,Ángel Di María,Argentina
3023,Yuri Berchiche,Spain
3040,Tomer Hemed,Israel
3042,Mikel Merino,Spain
3052,Pablo Zabaleta,Argentina
3058,Javier Hernández Balcázar,Mexico
3063,Danilo,Brazil
3064,David Silva,Spain
3084,Christian Atsu,Ghana
3087,Yaya Touré,Côte d'Ivoire
3090,Nicolás Otamendi,Argentina
3093,Florian Grégoire Claude Lejeune,France
3095,Bruno Saltor,Spain
3109,Malcom,Brazil
3122,Yannis Salibur,France
3130,Gaël Kakuta,"Congo, (Kinshasa)"
3139,Chidozie Awaziem,Nigeria
3141,André Zambo Anguissa,Cameroon
3150,Jaroslav Plašil,Czech Republic
3160,Rene Krhin,Slovenia
3163,Mariano Díaz,Dominican Republic
3165,Emmanuel Rivière,Martinique
3181,Lass Diarra,France
3218,Rony Lopes,Portugal
3236,Sergi Darder,Spain
3237,Sergio Agüero,Argentina
3240,Mat Ryan,Australia
3245,Thomas Lemar,France
3246,Guido Carrillo,Argentina
3253,Adil Rami,France
3265,Joselu,Spain
3269,Kiko Femenía,Spain
3272,Oriol Romeu,Spain
3290,Federico Fernández,Argentina
3292,Abdoulaye Doucouré,Mali
3294,Juan Mata,Spain
3302,Nordin Amrabat,Morocco
3308,Kieran Trippier,England
3313,Giovani Lo Celso,Argentina
3324,Eric Bailly,Côte d'Ivoire
3333,David de Gea,Spain
3362,Marlon,Brazil
3366,Diego Carlos,Brazil
3379,Alphonse Areola,France
3385,Alexis Sánchez,Chile
3389,Eliaquim Mangala,France
3406,Jérémy Toulalan,France
3416,Gabriel Silva,Brazil
3417,Saidy Janko,Gambia
3434,Stevan Jovetić,Montenegro
3437,Francis Joseph Coquelin,France
3445,Falcao,Colombia
3457,Michy Batshuayi,Belgium
3477,Álvaro Morata,Spain
3478,Cesc Fàbregas,Spain
3486,Fernando Llorente,Spain
3496,Mesut Özil,Germany
3497,Vicente Iborra,Spain
3498,Nacho Monreal,Spain
3501,Philippe Coutinho,Brazil
3508,Sandro Ramírez,Spain
3509,Thibaut Courtois,Belgium
3513,Oliver Burke,Scotland
3515,Alberto Moreno,Spain
3551,Karl Toko Ekambi,Cameroon
3553,Lacina Traoré,Côte d'Ivoire
