team,shots,shots_on_target,goals,yellow_cards,red_cards,match_id
206,3,0,0,2,0,15946
217,25,9,3,0,0,15946
217,11,5,1,1,0,15956
901,7,4,0,1,0,15956
217,30,16,7,1,0,15973
902,7,4,2,2,0,15973
210,8,4,1,1,0,15978
217,12,6,2,1,0,15978
211,7,5,2,5,0,15986
217,21,10,2,3,0,15986
205,9,6,2,4,0,15998
217,9,5,1,2,0,15998
215,8,2,1,3,0,16010
217,20,7,1,3,0,16010
207,10,3,1,2,0,16023
217,10,5,1,2,0,16023
213,19,6,1,1,0,16029
217,23,9,4,0,0,16029
217,20,5,3,3,0,16056
218,15,8,4,3,0,16056
212,3,1,1,5,0,16073
217,7,2,1,3,0,16073
217,15,7,2,2,0,16079
222,12,2,0,4,0,16079
214,15,3,0,1,0,16086
217,17,9,4,0,0,16086
217,16,9,5,3,0,16095
221,20,6,0,2,0,16095
209,11,3,0,1,0,16109
217,9,4,2,0,0,16109
216,10,2,1,4,0,16120
217,13,8,2,3,0,16120
217,7,6,3,2,0,16131
322,16,2,0,1,0,16131
205,5,2,1,3,0,16136
217,15,7,3,3,0,16136
211,13,4,0,4,0,16149
217,15,6,2,3,0,16149
207,13,7,2,0,0,16157
217,20,8,2,3,0,16157
215,14,5,0,3,0,16173
217,10,2,0,2,0,16173
217,20,8,1,1,0,16182
901,11,0,0,3,0,16182
213,14,4,2,6,0,16190
217,17,7,4,1,0,16190
217,10,4,1,2,0,16196
220,18,3,0,3,0,16196
217,12,6,3,1,0,16205
360,8,1,1,2,0,16205
217,16,9,4,2,0,16215
218,13,3,1,1,0,16215
214,3,2,0,4,0,16231
217,13,3,2,0,0,16231
217,15,9,4,7,0,16240
222,16,9,4,3,0,16240
212,9,2,0,4,1,16248
217,20,11,2,3,0,16248
210,9,3,1,1,0,16265
217,11,4,2,0,0,16265
206,6,1,0,3,0,16275
217,16,6,2,1,0,16275
217,23,12,1,4,0,16289
221,7,2,0,3,0,16289
216,11,0,0,3,0,16306
217,13,8,1,1,0,16306
217,8,3,2,2,0,16317
322,18,8,2,4,0,16317
212,8,2,0,2,0,265830
217,8,3,0,3,0,265830
213,2,0,0,2,0,265835
217,15,9,5,1,0,265835
210,13,3,2,2,0,265837
217,10,3,1,3,0,265837
213,12,3,1,2,0,265839
217,15,8,2,3,0,265839
217,18,6,4,2,0,265857
220,13,7,3,5,0,265857
217,27,11,8,0,0,265866
373,6,1,0,2,0,265866
217,11,5,2,3,0,265894
223,14,7,1,3,0,265894
217,28,12,3,2,0,265896
322,4,2,0,2,0,265896
217,20,8,6,0,0,265918
360,9,4,0,0,0,265918
217,23,8,6,0,0,265944
1041,4,1,0,3,0,265944
217,22,10,6,1,0,265952
1041,5,2,1,3,0,265952
214,4,1,0,7,0,265958
217,14,7,5,2,0,265958
216,7,3,0,0,0,265963
217,20,12,6,0,0,265963
217,11,5,3,1,0,266015
901,4,2,1,4,0,266015
207,7,4,2,5,0,266033
217,15,8,3,4,0,266033
210,5,1,0,5,0,266045
217,15,8,2,1,0,266045
217,10,7,4,2,0,266056
322,7,0,0,3,0,266056
217,29,12,4,1,0,266066
403,6,2,1,4,0,266066
217,20,11,7,1,0,266074
422,6,3,0,2,0,266074
217,15,6,2,4,0,266106
222,15,6,1,8,0,266106
217,19,12,6,1,0,266117
1049,9,1,0,3,0,266117
213,11,2,2,5,0,266142
217,17,6,2,2,0,266142
217,10,3,0,4,0,266148
223,11,3,1,3,0,266148
215,9,3,0,2,0,266149
217,20,8,6,2,0,266149
217,11,4,1,3,0,266160
221,14,3,0,4,0,266160
212,11,3,1,3,0,266166
217,14,4,2,1,0,266166
210,18,6,1,2,0,266191
217,10,2,1,4,0,266191
217,23,7,0,3,0,266201
1042,8,1,0,3,0,266201
217,15,7,3,2,0,266230
219,6,1,0,2,0,266230
215,6,2,0,3,0,266236
217,10,4,1,3,0,266236
210,7,1,0,5,0,266240
217,16,4,0,4,0,266240
209,10,4,1,4,0,266254
217,20,10,6,1,0,266254
212,9,1,1,4,0,266256
217,10,4,1,5,0,266256
206,9,4,0,1,0,266273
217,22,9,5,3,0,266273
209,8,6,0,2,0,266274
217,14,6,3,2,0,266274
213,7,3,0,2,0,266280
217,13,7,3,4,0,266280
209,7,2,0,3,0,266299
217,19,9,5,1,0,266299
217,17,9,8,0,0,266310
219,17,5,0,1,0,266310
214,3,2,1,4,0,266320
217,15,7,5,0,0,266320
217,17,6,3,0,0,266357
422,4,1,0,3,0,266357
217,22,6,1,2,0,266406
222,10,0,0,0,0,266406
217,16,4,2,2,0,266420
403,5,1,0,1,0,266420
217,18,6,4,2,0,266424
220,13,7,0,3,0,266424
214,5,1,0,4,0,266433
217,19,8,4,0,0,266433
207,6,5,2,4,0,266440
217,28,11,4,3,0,266440
217,12,3,0,2,0,266462
422,4,1,0,3,0,266462
209,19,5,4,2,0,266467
217,18,7,1,2,0,266467
217,20,8,1,2,0,266477
