id,name
205,Leganés
206,Deportivo Alavés
207,Valencia
208,Las Palmas
209,Celta Vigo
210,Real Sociedad
211,Girona
212,Atlético Madrid
213,Sevilla
214,Espanyol
215,Athletic Club
216,Getafe
217,Barcelona
218,Real Betis
219,RC Deportivo La Coruña
220,Real Madrid
221,Levante UD
222,Villarreal
223,Málaga
322,Eibar
360,Rayo Vallecano
373,Córdoba CF
395,Real Zaragoza
403,Almería
422,Osasuna
444,CD Numancia de Soria
552,Cádiz
608,Albacete
627,Tenerife
901,Real Valladolid
902,Huesca
1036,Gimnàstic Tarragona
1041,Sporting Gijón
1042,Elche
1043,Mallorca
1049,Granada
1217,Racing Santander
1218,Hércules
1219,Xerez
1220,Recreativo Huelva
1230,Real Murcia CF
